fetched_at_sgt,ride,status,wait_time,last_updated
2026-07-16T17:25:28+08:00,HUMAN,OPERATING,50,2026-07-16T09:18:00.442Z
2026-07-16T17:25:28+08:00,CYLON,OPERATING,60,2026-07-16T08:42:29.622Z
2026-07-16T18:23:58+08:00,HUMAN,OPERATING,80,2026-07-16T10:11:03.334Z
2026-07-16T18:23:58+08:00,CYLON,OPERATING,50,2026-07-16T10:15:13.056Z
2026-07-16T19:23:54+08:00,HUMAN,OPERATING,40,2026-07-16T11:09:20.403Z
2026-07-16T19:23:54+08:00,CYLON,OPERATING,30,2026-07-16T10:50:13.039Z
2026-07-17T10:24:03+08:00,HUMAN,OPERATING,40,2026-07-17T02:19:01.237Z
2026-07-17T10:24:03+08:00,CYLON,OPERATING,30,2026-07-17T02:16:51.199Z
2026-07-17T11:23:57+08:00,HUMAN,OPERATING,90,2026-07-17T02:37:28.155Z
2026-07-17T11:23:57+08:00,CYLON,OPERATING,70,2026-07-17T02:40:32.297Z
2026-07-17T12:23:33+08:00,HUMAN,OPERATING,40,2026-07-17T04:19:01.637Z
2026-07-17T12:23:33+08:00,CYLON,OPERATING,50,2026-07-17T04:19:01.619Z
2026-07-17T13:23:50+08:00,HUMAN,OPERATING,0,2026-07-17T05:06:50.875Z
2026-07-17T13:23:50+08:00,CYLON,OPERATING,0,2026-07-17T05:08:41.114Z
2026-07-17T14:24:09+08:00,HUMAN,OPERATING,0,2026-07-17T06:06:06.011Z
2026-07-17T14:24:09+08:00,CYLON,OPERATING,0,2026-07-17T06:07:38.307Z
2026-07-17T15:24:03+08:00,HUMAN,OPERATING,50,2026-07-17T07:20:58.519Z
2026-07-17T15:24:03+08:00,CYLON,OPERATING,50,2026-07-17T07:20:58.506Z
2026-07-17T16:23:52+08:00,HUMAN,OPERATING,110,2026-07-17T08:22:33.256Z
2026-07-17T16:23:52+08:00,CYLON,OPERATING,90,2026-07-17T08:03:41.733Z
2026-07-17T17:24:13+08:00,HUMAN,OPERATING,60,2026-07-17T09:22:56.911Z
2026-07-17T17:24:13+08:00,CYLON,OPERATING,100,2026-07-17T08:27:42.084Z
2026-07-17T18:23:36+08:00,HUMAN,OPERATING,90,2026-07-17T10:16:55.013Z
2026-07-17T18:23:36+08:00,CYLON,OPERATING,90,2026-07-17T09:41:12.699Z
2026-07-17T19:24:08+08:00,HUMAN,OPERATING,0,2026-07-17T11:01:30.657Z
2026-07-17T19:24:08+08:00,CYLON,OPERATING,0,2026-07-17T11:01:30.648Z
2026-07-18T10:24:03+08:00,HUMAN,OPERATING,30,2026-07-18T02:17:05.025Z
2026-07-18T10:24:03+08:00,CYLON,OPERATING,30,2026-07-18T02:17:05.011Z
2026-07-18T11:23:57+08:00,HUMAN,OPERATING,80,2026-07-18T02:43:37.155Z
2026-07-18T11:23:57+08:00,CYLON,OPERATING,60,2026-07-18T03:15:21.411Z
2026-07-18T12:24:03+08:00,HUMAN,OPERATING,90,2026-07-18T03:55:59.333Z
2026-07-18T12:24:03+08:00,CYLON,OPERATING,90,2026-07-18T04:08:24.276Z
2026-07-18T13:23:59+08:00,HUMAN,OPERATING,70,2026-07-18T05:13:19.308Z
2026-07-18T13:23:59+08:00,CYLON,OPERATING,80,2026-07-18T04:54:18.382Z
2026-07-18T14:24:10+08:00,HUMAN,OPERATING,90,2026-07-18T06:04:16.975Z
2026-07-18T14:24:10+08:00,CYLON,OPERATING,70,2026-07-18T05:35:04.484Z
2026-07-18T15:24:08+08:00,HUMAN,OPERATING,90,2026-07-18T06:04:16.975Z
2026-07-18T15:24:08+08:00,CYLON,OPERATING,100,2026-07-18T07:08:31.921Z
2026-07-18T16:24:17+08:00,HUMAN,OPERATING,90,2026-07-18T07:59:45.711Z
2026-07-18T16:24:17+08:00,CYLON,OPERATING,80,2026-07-18T08:14:10.814Z
2026-07-18T17:23:58+08:00,HUMAN,OPERATING,0,2026-07-18T09:18:36.582Z
2026-07-18T17:23:58+08:00,CYLON,OPERATING,0,2026-07-18T08:24:13.377Z
2026-07-18T19:24:13+08:00,HUMAN,OPERATING,0,2026-07-18T09:18:36.582Z
2026-07-18T19:24:13+08:00,CYLON,OPERATING,0,2026-07-18T08:24:13.377Z
2026-07-19T10:24:05+08:00,HUMAN,OPERATING,40,2026-07-19T02:18:15.805Z
2026-07-19T10:24:05+08:00,CYLON,OPERATING,30,2026-07-19T02:18:15.797Z
2026-07-19T11:23:58+08:00,HUMAN,OPERATING,90,2026-07-19T03:06:26.902Z
2026-07-19T11:23:58+08:00,CYLON,OPERATING,60,2026-07-19T03:06:26.895Z
2026-07-19T12:24:01+08:00,HUMAN,OPERATING,70,2026-07-19T04:07:56.882Z
2026-07-19T12:24:01+08:00,CYLON,OPERATING,60,2026-07-19T03:06:26.895Z
2026-07-19T13:23:58+08:00,HUMAN,OPERATING,70,2026-07-19T05:16:16.711Z
2026-07-19T13:23:58+08:00,CYLON,OPERATING,60,2026-07-19T03:06:26.895Z
2026-07-19T14:24:07+08:00,HUMAN,OPERATING,70,2026-07-19T05:16:16.711Z
2026-07-19T14:24:07+08:00,CYLON,OPERATING,60,2026-07-19T03:06:26.895Z
2026-07-19T15:23:26+08:00,HUMAN,OPERATING,40,2026-07-19T06:47:35.983Z
2026-07-19T15:23:26+08:00,CYLON,OPERATING,80,2026-07-19T07:17:26.068Z
